fold,roc_auc,pr_auc,ks
1,0.8710322754821586,0.4208291679838716,0.5972331395928809
2,0.8680859899147486,0.39112810194096725,0.5766768925275041
3,0.8649251286133562,0.40064595156785243,0.5743110454228769
4,0.8554596380927322,0.3659793345446438,0.5532564673601519
5,0.8638110882678933,0.40804535136747044,0.5751664914831267
