number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8269967133918692,2026-06-28 21:49:24.545208,2026-06-28 21:49:37.715118,0 days 00:00:13.169910,0.662397808134481,0.13125830316209655,8,15,2.142302175774105,425,83,0.21242802137208885,0.25378155082656645,0.6624074561769746,COMPLETE
1,0.8521195484771276,2026-06-28 21:49:37.715284,2026-06-28 21:49:41.725478,0 days 00:00:04.010194,0.6733618039413735,0.13826189316223855,9,37,0.042051564509138696,212,39,0.0023360223531559876,0.05342937261279776,0.6727299868828402,COMPLETE
2,0.8640436703681832,2026-06-28 21:49:41.725633,2026-06-28 21:49:49.614276,0 days 00:00:07.888643,0.9140703845572055,0.01459007452373112,5,28,0.03725393839578886,567,57,0.0001652985698323788,0.23423849847112918,0.7824279936868144,COMPLETE
3,0.8644368005291696,2026-06-28 21:49:49.614423,2026-06-28 21:49:54.181339,0 days 00:00:04.566916,0.9233589392465844,0.015869086642715014,3,37,0.0003078651783619622,565,123,0.011702088154220882,0.5456725485601478,0.9862528132298237,COMPLETE
4,0.8646628240741778,2026-06-28 21:49:54.181491,2026-06-28 21:49:56.468464,0 days 00:00:02.286973,0.8650089137415928,0.03822726574649208,3,38,0.039841905944346875,273,118,0.0007389678458573185,0.1537592023548176,0.7035119926400067,COMPLETE
